"107年01月02日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.56","105","12.83","1.09","106/3",
"2809","京城銀","4.02","105","7.79","1.17","106/3",
"2812","台中銀","7.27","105","9.01","0.77","106/3",
"2816","旺旺保","0.00","105","7.51","1.04","106/3",
"2820","華票","5.44","105","15.61","0.92","106/3",
"2823","中壽","5.67","105","14.22","1.32","106/3",
"2832","台產","4.37","105","9.07","0.89","106/3",
"2834","臺企銀","4.76","105","8.75","0.68","106/3",
"2836","高雄銀","6.53","105","13.51","0.65","106/3",
"2838","聯邦銀","4.86","105","9.17","0.65","106/3",
"2845","遠東銀","6.79","105","9.38","0.72","106/3",
"2849","安泰銀","4.55","105","11.19","0.71","106/3",
"2850","新產","5.26","105","8.02","0.98","106/3",
"2851","中再保","2.84","105","7.07","0.91","106/3",
"2852","第一保","4.48","105","8.01","0.78","106/3",
"2855","統一證","2.83","105","12.95","0.81","106/3",
"2856","元富證","1.15","105","45.79","0.64","106/3",
"2867","三商壽","5.35","105","10.09","0.79","106/3",
"2880","華南金","7.12","105","13.93","1.15","106/3",
"2881","富邦金","3.92","105","10.56","1.17","106/3",
"2882","國泰金","3.69","105","12.78","1.24","106/3",
"2883","開發金","4.95","105","14.03","0.90","106/3",
"2884","玉山金","6.51","105","13.80","1.32","106/3",
"2885","元大金","3.26","105","10.45","0.78","106/3",
"2886","兆豐金","5.87","105","12.22","1.11","106/3",
"2887","台新金","6.79","105","12.61","0.99","106/3",
"2888","新光金","1.90","105","7.72","0.77","106/3",
"2889","國票金","7.27","105","13.18","0.83","106/3",
"2890","永豐金","7.11","105","13.11","0.78","106/3",
"2891","中信金","4.89","105","11.17","1.36","106/3",
"2892","第一金","7.16","105","12.69","1.25","106/3",
"2897","王道銀行","5.05","105","17.13","0.73","106/3",
"5880","合庫金","6.31","105","13.65","1.02","106/3",
"6005","群益證","3.25","105","11.63","0.81","106/3",
"6024","群益期","4.86","105","10.57","1.62","106/3",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

"107年01月03日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2801","彰銀","5.54","105","12.87","1.09","106/3",
"2809","京城銀","4.01","105","7.82","1.17","106/3",
"2812","台中銀","7.22","105","9.06","0.78","106/3",
"2816","旺旺保","0.00","105","7.53","1.04","106/3",
"2820","華票","5.44","105","15.61","0.92","106/3",
"2823","中壽","5.62","105","14.34","1.33","106/3",
